Period,Average_TOT,Std_Dev,Min,Max
1980年代,130.66987133666214,23.817008857345183,103.05810397553516,176.40966628308402
1990年代,155.75987434707974,7.143912021994993,134.15077202543142,170.9228824273072
2000年代,121.07867762521012,19.379172928348627,79.20209287115762,146.51711924439198
2010年代,90.94859964504867,6.297068582515616,81.15299334811529,103.76398779247202
2020年代,86.30674574826915,8.723133982187905,69.84126984126983,105.3134962805526
