主要時系列統計データ表
2025/11/13 15:00
"","企業物価指数（月次）","企業物価指数（月次）","企業物価指数（月次）","企業物価指数（月次）","企業物価指数（月次）","企業物価指数（月次）","企業物価指数（月次）","企業物価指数（月次）","企業物価指数（月次）"
"系列名称","[国内企業物価指数] 総平均（前年比）","[輸出物価指数/円ベース] 総平均（前年比）","[輸入物価指数/円ベース] 総平均（前年比）","[連鎖方式による国内企業物価指数] 総平均（前年比）","[国内企業物価指数] 総平均","(参考)夏季電力料金調整後/総平均","[輸出物価指数/円ベース] 総平均","[輸入物価指数/円ベース] 総平均","[連鎖方式による国内企業物価指数] 総平均"
"データコード",PR01'PRCG20_2200000000%,PR01'PRCG20_2400000000%,PR01'PRCG20_2600000000%,PR01'PRCG20_32C0000000%,PR01'PRCG20_2200000000,PR01'PRCG20_22G2200000,PR01'PRCG20_2400000000,PR01'PRCG20_2600000000,PR01'PRCG20_32C0000000
"単位",％,％,％,％,2020年=100,2020年=100,2020年=100,2020年=100,2020年=100
"収録開始期","1961/01","1961/01","1961/01","1996/01","1960/01","1990/01","1960/01","1960/01","1995/01"
"収録終了期","2025/10","2025/10","2025/10","2025/10","2025/10","2025/10","2025/10","2025/10","2025/10"
"最終更新日","2025/11/13","2025/11/13","2025/11/13","2025/11/13","2025/11/13","2025/11/13","2025/11/13","2025/11/13","2025/11/13"
2010/11,0.9,-3.2,4.4,0.3,96.8,96.8,96.6,102.2,97.3
2010/12,1.2,-2.1,4.4,0.5,97.3,97.3,97.6,104.6,97.7
2011/01,0.6,-3.5,2.6,0.6,97.7,97.7,97.8,106.8,98.1
2011/02,0.7,-2.1,4.5,0.6,97.8,97.8,98.7,108.5,98.2
2011/03,1.3,-2.2,7.2,1.2,98.3,98.3,98.8,110.5,98.8
2011/04,1.8,-2.8,7,1.7,99.1,99.1,100.9,116.4,99.6
2011/05,1.6,-2.9,7.1,1.5,98.9,98.9,99.2,116.9,99.4
2011/06,1.9,-2.3,8,1.7,98.9,98.9,98.5,114.9,99.4
2011/07,2.2,-0.7,10.4,2,99.2,99,97.6,114.7,99.6
2011/08,2.2,-0.7,10.9,2.2,99.1,98.9,95.8,112.4,99.6
2011/09,2,-0.9,9.3,1.8,98.9,98.7,95.4,110.5,99.3
2011/10,1.3,-1.2,10.2,1.1,98.1,98.1,94.5,109.8,98.5
2011/11,1.3,-2.7,7.3,1.1,98,98,94.1,109.6,98.4
2011/12,0.8,-3.9,5.6,0.6,98,98,93.8,110.5,98.3
2012/01,0.3,-4.7,1.6,0.2,97.9,97.9,93.3,108.4,98.3
2012/02,0.4,-3.7,2,0.3,98.1,98.1,95.1,110.7,98.5
2012/03,0.3,-0.4,6.2,0.2,98.6,98.6,98.5,117.5,99
2012/04,-0.7,-2.9,1.1,-0.8,98.4,98.4,97.9,117.6,98.8
2012/05,-0.9,-3.6,-2.3,-1.1,98,98,95.6,114.2,98.3
2012/06,-1.5,-4.3,-3.4,-1.8,97.5,97.5,94.3,111,97.6
2012/07,-2.2,-4.4,-6.1,-2.4,97.1,96.8,93.3,107.7,97.2
2012/08,-2,-2.6,-4.2,-2.2,97.2,97,93.4,107.8,97.4
2012/09,-1.5,-2.1,-0.9,-1.7,97.5,97.3,93.4,109.5,97.6
2012/10,-1.1,-0.5,-0.4,-1.3,97.1,97.1,93.9,109.5,97.2
2012/11,-1.1,1.2,1,-1.2,97,97,95.2,110.8,97.2
2012/12,-0.7,3.7,3.1,-0.8,97.4,97.4,97.3,114,97.5
2013/01,-0.4,8.9,10.7,-0.5,97.6,97.6,101.6,120.1,97.8
2013/02,-0.1,10.5,13,-0.3,98,98,105.1,125.1,98.2
2013/03,-0.5,7.5,8.1,-0.6,98.1,98.1,105.8,127,98.4
2013/04,0.1,8.9,9.5,0,98.5,98.5,106.7,128.8,98.8
2013/05,0.6,13.3,14.1,0.5,98.6,98.6,108.3,130.4,98.8
2013/06,1.2,11.7,13.6,1.2,98.6,98.6,105.3,126.1,98.8
2013/07,2.1,14.4,18.6,2.3,99.1,98.9,106.7,127.8,99.4
2013/08,2.3,12.8,17.1,2.3,99.4,99.2,105.3,126.2,99.6
2013/09,2.3,13.9,17.9,2.4,99.7,99.4,106.4,129,99.9
2013/10,2.5,12.7,16.8,2.5,99.5,99.5,105.9,127.9,99.6
2013/11,2.6,12.6,17.3,2.5,99.5,99.5,107.1,129.9,99.6
2013/12,2.5,12.7,17.8,2.5,99.8,99.8,109.6,134.2,99.9
2014/01,2.5,8.1,12.7,2.4,100,100,109.8,135.3,100.1
2014/02,1.8,3.1,6.2,1.8,99.8,99.8,108.4,132.9,100
2014/03,1.7,2.3,4.4,1.6,99.8,99.8,108.3,132.5,100
2014/04,4.2,1.4,2.5,4,102.7,102.7,108.1,132,102.8
2014/05,4.4,-0.8,0.5,4.4,103,103,107.4,131,103.1
2014/06,4.5,1.9,4.1,4.5,103.1,103.1,107.3,131.3,103.2
2014/07,4.4,0.4,2.5,4.2,103.5,103.2,107,131,103.6
2014/08,4,2.5,4.5,3.8,103.4,103.1,107.9,131.8,103.4
2014/09,3.6,3.5,4.4,3.5,103.3,103.1,110.1,134.6,103.4
2014/10,2.8,3.8,4.1,2.8,102.3,102.3,109.9,133.1,102.4
2014/11,2.6,7,5.4,2.7,102.1,102.1,114.7,136.9,102.3
2014/12,1.8,5.4,0.3,1.9,101.6,101.6,115.5,134.6,101.8
2015/01,0.3,2.2,-6.7,0.4,100.3,100.3,112.2,125.9,100.5
2015/02,0.4,2.7,-10.4,0.5,100.3,100.3,111,118.9,100.5
2015/03,0.7,3.4,-8.2,0.7,100.5,100.5,111.9,121.2,100.7
2015/04,-2.1,2.8,-9.8,-2,100.5,100.5,111.1,119.3,100.7
2015/05,-2.2,4.8,-8.7,-2.1,100.7,100.7,112.5,119.9,100.9
2015/06,-2.4,6.6,-5.9,-2.3,100.6,100.6,114.1,123.2,100.8
2015/07,-3.2,5.3,-7.4,-3.1,100.2,99.9,112.8,121.5,100.4
2015/08,-3.8,3.6,-9.9,-3.6,99.5,99.3,111.9,118.6,99.7
2015/09,-4,-1.3,-15.6,-4,99.1,98.9,108.9,113.6,99.3
2015/10,-3.8,-1.9,-15.8,-3.7,98.4,98.4,107.9,112.2,98.6
2015/11,-3.7,-5.3,-17.7,-3.6,98.4,98.4,108.7,113,98.6
2015/12,-3.6,-6.9,-18.6,-3.5,98,98,107.9,110.1,98.2
2016/01,-3.4,-6.4,-17.2,-3.5,96.9,96.9,105,104.3,97
2016/02,-3.7,-7.4,-16.2,-3.8,96.6,96.6,102.8,99.7,96.7
2016/03,-4,-8.8,-18.9,-4.1,96.5,96.5,102,98.3,96.6
2016/04,-4.4,-9.2,-18.4,-4.5,96.1,96.1,100.9,97.3,96.2
2016/05,-4.6,-10.7,-18.8,-4.7,96.1,96.1,100.5,97.3,96.2
2016/06,-4.5,-13.7,-21.8,-4.7,96.1,96.1,98.5,96.4,96.1
2016/07,-4.2,-13.3,-20.8,-4.3,96,95.8,97.8,96.3,96.1
2016/08,-3.8,-13.7,-20.4,-3.9,95.7,95.5,96.6,94.4,95.8
2016/09,-3.3,-10.9,-16.1,-3.5,95.8,95.5,97.1,95.3,95.8
2016/10,-2.7,-8.9,-14.1,-2.8,95.7,95.7,98.3,96.4,95.8
2016/11,-2.3,-6.9,-9.8,-2.4,96.1,96.1,101.2,101.9,96.2
2016/12,-1.2,-1.8,-2.9,-1.3,96.8,96.8,105.9,106.9,96.9
2017/01,0.5,1,4.3,0.4,97.4,97.4,106,108.8,97.4
2017/02,1,2.8,9.6,0.9,97.6,97.6,105.7,109.2,97.6
2017/03,1.4,4,12.1,1.3,97.9,97.9,106.1,110.2,97.9
2017/04,2.1,3,10.9,2.1,98.1,98.1,103.9,107.9,98.2
2017/05,2.1,4.4,12.4,2.1,98.1,98.1,104.9,109.4,98.2
2017/06,2.2,5.7,11.5,2.3,98.2,98.2,104.2,107.5,98.3
2017/07,2.5,7.6,11.9,2.5,98.4,98.1,105.3,107.7,98.5
2017/08,2.8,8.4,12.8,2.8,98.4,98.2,104.7,106.4,98.5
2017/09,3,9.1,13.8,3.1,98.7,98.5,105.9,108.4,98.8
2017/10,3.5,9.7,15.6,3.4,99.1,99.1,107.8,111.4,99.1
2017/11,3.5,6.8,10.5,3.4,99.5,99.5,108,112.7,99.5
2017/12,3,2.3,7.3,2.8,99.7,99.7,108.4,114.7,99.6
2018/01,2.7,1.6,5,2.6,100,100,107.7,114.2,99.9
2018/02,2.5,0.8,4.4,2.4,100,100,106.6,114.1,99.9
2018/03,2,-0.5,1.7,1.9,99.9,99.9,105.6,112.1,99.8
2018/04,2.2,1.9,5.1,1.9,100.3,100.3,105.9,113.5,100.1
2018/05,2.7,2.4,6.7,2.4,100.8,100.8,107.5,116.7,100.6
2018/06,2.9,3.3,10.8,2.5,101.1,101.1,107.6,119,100.8
2018/07,3.1,2.6,11.6,2.7,101.5,101.2,108,120.2,101.2
2018/08,3.1,2.8,12.3,2.8,101.5,101.3,107.6,119.5,101.3
2018/09,3,2,10.9,2.6,101.7,101.5,108,120.2,101.4
2018/10,3,0.7,9.8,2.7,102.1,102.1,108.6,122.2,101.8
2018/11,2.2,0.5,9.3,2,101.7,101.7,108.6,123.2,101.5
2018/12,1.4,-1.5,3.1,1.4,101.1,101.1,106.7,118.2,101
2019/01,0.5,-3.5,-2,0.5,100.5,100.5,103.9,112,100.4
2019/02,0.9,-1.6,-0.8,0.9,100.9,100.9,104.9,113.1,100.8
2019/03,1.3,0.1,2.4,1.3,101.2,101.2,105.7,114.8,101.1
2019/04,1.3,0.2,1.5,1.3,101.6,101.6,106.1,115.1,101.4
2019/05,0.6,-2.6,-1.8,0.7,101.4,101.4,104.7,114.6,101.3
2019/06,-0.2,-4.3,-5.8,0,100.9,100.9,102.9,112.2,100.8
2019/07,-0.7,-4.9,-8.4,-0.5,100.8,100.6,102.7,110.1,100.7
2019/08,-0.9,-5.8,-8.5,-0.8,100.6,100.4,101.4,109.4,100.5
2019/09,-1.1,-6.2,-9.7,-0.9,100.6,100.3,101.4,108.5,100.5
2019/10,-0.4,-6.3,-10.8,-0.1,101.7,101.7,101.7,109,101.7
2019/11,0.1,-6.1,-11.3,0.3,101.8,101.8,101.9,109.2,101.8
2019/12,0.9,-4.4,-6.6,0.9,102,102,102,110.4,101.9
2020/01,1.5,-1.5,-0.8,1.7,102.1,102.1,102.5,110.9,102.1
2020/02,0.7,-2.2,-1.8,0.8,101.7,101.7,102.7,111,101.6
2020/03,-0.4,-5.1,-7.8,-0.3,100.8,100.8,100.2,105.8,100.8
2020/04,-2.4,-6.5,-13.5,-2.2,99.2,99.2,99.5,99.4,99.2
2020/05,-2.7,-6.5,-18.5,-2.6,98.7,98.7,98.1,93.5,98.7
2020/06,-1.6,-4.1,-16.2,-1.5,99.3,99.3,99.1,94.1,99.3
2020/07,-0.9,-3.3,-12.7,-0.9,99.8,99.6,99.3,96.4,99.8
2020/08,-0.6,-1.8,-11,-0.6,99.9,99.7,99.7,97.4,99.9
2020/09,-0.8,-1.5,-10.3,-0.7,99.8,99.6,99.7,97.6,99.8
2020/10,-2.2,-2,-10.9,-2.2,99.5,99.5,99.6,97.1,99.5
2020/11,-2.4,-2.1,-10.6,-2.4,99.4,99.4,99.6,97.5,99.4
2020/12,-2.1,-1.4,-9.8,-2.1,99.8,99.8,100.1,99.4,99.8
2021/01,-1.8,-1.5,-7.4,-1.9,100.3,100.3,101,102.7,100.2
2021/02,-0.9,-0.5,-3.4,-0.9,100.8,100.8,102.2,107.2,100.7
2021/03,1,4.8,5.2,0.7,101.8,101.8,105,111.3,101.5
2021/04,3.8,7.2,14.9,3.4,103,103,106.7,114.2,102.6
2021/05,5,10.1,24.9,4.6,103.6,103.6,108,116.8,103.2
2021/06,5,9.9,27.6,4.6,104.3,104.3,108.9,120.1,103.9
2021/07,5.6,10.4,27.3,5.2,105.4,105.2,109.6,122.7,105
2021/08,5.7,9.6,28.7,5.2,105.6,105.4,109.3,125.4,105.1
2021/09,6.2,10.1,30.2,5.7,106,105.8,109.8,127.1,105.5
2021/10,8.2,13,36.5,7.5,107.7,107.7,112.5,132.5,107
2021/11,9.1,14.1,43.1,8.4,108.4,108.4,113.6,139.5,107.7
2021/12,8.6,12.7,40.2,7.9,108.4,108.4,112.8,139.4,107.7
2022/01,9.2,12.6,35.5,8.5,109.5,109.5,113.7,139.2,108.7
2022/02,9.5,12.5,33.1,8.7,110.4,110.4,115,142.7,109.5
2022/03,9.5,12.7,32.7,8.9,111.5,111.5,118.3,147.7,110.5
2022/04,10.2,16.9,42.6,9.4,113.5,113.5,124.7,162.8,112.2
2022/05,9.6,17.1,44.9,8.8,113.5,113.5,126.5,169.2,112.3
2022/06,9.8,19.3,48.5,9,114.5,114.5,129.9,178.3,113.2
2022/07,9.5,19.8,49.5,8.7,115.4,115.2,131.3,183.4,114.1
2022/08,9.8,17.4,43.1,8.9,115.9,115.7,128.3,179.5,114.5
2022/09,10.4,20.2,48.7,9.6,117,116.8,132,189,115.6
2022/10,9.7,18.7,42.3,9.3,118.2,118.2,133.5,188.5,116.9
2022/11,10,15.1,28,9.3,119.2,119.2,130.8,178.5,117.7
2022/12,10.6,12.1,22.2,9.9,119.9,119.9,126.5,170.3,118.4
2023/01,9.6,9,16.9,9.1,120,120,123.9,162.7,118.6
2023/02,8.4,9.3,15,8.1,119.7,119.7,125.7,164.1,118.4
2023/03,7.4,7,9.3,7.2,119.8,119.8,126.6,161.5,118.5
2023/04,6.1,1.8,-3.7,6.1,120.4,120.4,127,156.8,119.1
2023/05,5.4,2.1,-5.4,5.5,119.6,119.6,129.1,160.1,118.5
2023/06,4.5,0.6,-11.7,4.8,119.6,119.6,130.7,157.4,118.6
2023/07,3.7,-0.3,-14.7,4.1,119.7,119.5,130.9,156.4,118.8
2023/08,3.5,4.1,-11.6,4.1,120,119.8,133.5,158.6,119.2
2023/09,2.4,3,-14.3,2.9,119.8,119.6,136,162,118.9
2023/10,1.2,2.5,-11.8,1.5,119.6,119.6,136.8,166.2,118.7
2023/11,0.6,4.9,-6.4,1.1,119.9,119.9,137.2,167,119
2023/12,0.3,5.6,-5,0.8,120.2,120.2,133.6,161.7,119.3
2024/01,0.3,9.6,-0.1,0.8,120.4,120.4,135.8,162.6,119.5
2024/02,0.8,9.5,0.4,1.1,120.6,120.6,137.7,164.7,119.7
2024/03,1,9.6,1.7,1.3,121,121,138.7,164.3,120
2024/04,1.2,11.7,7,1.3,121.8,121.8,141.8,167.7,120.6
2024/05,2.6,11.5,7.2,2.5,122.7,122.7,144,171.6,121.5
2024/06,2.8,11,9.5,2.7,123,123,145.1,172.3,121.8
2024/07,3.3,10.9,10.6,3,123.6,123.3,145.2,173,122.4
2024/08,2.7,3.1,2.3,2.4,123.2,123,137.6,162.3,122.1
2024/09,3.2,-0.7,-2.7,2.9,123.6,123.4,135.1,157.6,122.3
2024/10,3.8,1.2,-2.5,3.5,124.2,124.2,138.5,162.1,122.9
2024/11,3.9,2.9,-1.4,3.6,124.6,124.6,141.2,164.7,123.3
2024/12,4.1,4.8,1.2,3.8,125.1,125.1,140,163.6,123.8
2025/01,4.2,4.3,2.1,3.8,125.5,125.5,141.7,166,124.1
2025/02,4.3,1.5,-1.2,3.8,125.8,125.8,139.8,162.8,124.3
2025/03,4.3,-0.3,-2.5,3.9,126.2,126.2,138.3,160.2,124.7
2025/04,3.9,-4.3,-7.3,3.6,126.6,126.6,135.7,155.5,125
2025/05,3.1,-6.6,-10.3,2.8,126.5,126.5,134.5,153.9,124.9
2025/06,2.8,-7.2,-12,2.4,126.4,126.4,134.7,151.6,124.7
2025/07,2.5,-5.6,-10.6,2.1,126.7,126.5,137.1,154.7,125
2025/08,2.6,0,-4.3,2.2,126.4,126.2,137.6,155.4,124.8
2025/09,2.8,2.4,-1.1,2.2,127,126.7,138.3,155.8,125
2025/10,2.7,2.4,-1.5,2,127.5,127.5,141.8,159.7,125.3
