Metric,Value
Export Index Mean,131.85563636363636
Export Index Std,29.272369508211476
Export Index Min,93.3
Export Index Max,205.7
Import Index Mean,115.02654545454546
Import Index Std,32.041862770903975
Import Index Min,73.2
Import Index Max,198.1
Export YoY Mean,-0.2965454545454546
Export YoY Std,6.797677659308428
Import YoY Mean,1.8274545454545452
Import YoY Std,15.606784489647731
